"Notes"	"State"	"State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"5-9 years"	"5-9"	"2004"	"2004"	49	297554	16.5
	"Alabama"	"01"	"5-9 years"	"5-9"	"2005"	"2005"	48	298450	16.1
	"Alabama"	"01"	"5-9 years"	"5-9"	"2006"	"2006"	64	303581	21.1
	"Alabama"	"01"	"5-9 years"	"5-9"	"2007"	"2007"	66	306013	21.6
	"Alabama"	"01"	"5-9 years"	"5-9"	"2008"	"2008"	53	306682	17.3
	"Alabama"	"01"	"5-9 years"	"5-9"	"2009"	"2009"	43	307864	14.0
	"Alabama"	"01"	"5-9 years"	"5-9"	"2010"	"2010"	64	308229	20.8
	"Alabama"	"01"	"5-9 years"	"5-9"	"2011"	"2011"	57	305108	18.7
	"Alabama"	"01"	"5-9 years"	"5-9"	"2012"	"2012"	52	306380	17.0
	"Alabama"	"01"	"5-9 years"	"5-9"	"2013"	"2013"	55	307542	17.9
	"Alabama"	"01"	"5-9 years"	"5-9"	"2014"	"2014"	63	307050	20.5
	"Alabama"	"01"	"5-9 years"	"5-9"	"2015"	"2015"	50	306288	16.3
	"Alabama"	"01"	"5-9 years"	"5-9"	"2016"	"2016"	49	303617	16.1
	"Alabama"	"01"	"5-9 years"	"5-9"	"2017"	"2017"	39	301285	12.9
	"Alabama"	"01"	"5-9 years"	"5-9"	"2018"	"2018"	55	297900	18.5
	"Alabama"	"01"	"10-14 years"	"10-14"	"1999"	"1999"	98	317379	30.9
	"Alabama"	"01"	"10-14 years"	"10-14"	"2000"	"2000"	83	320252	25.9
	"Alabama"	"01"	"10-14 years"	"10-14"	"2001"	"2001"	94	323615	29.0
	"Alabama"	"01"	"10-14 years"	"10-14"	"2002"	"2002"	89	325008	27.4
	"Alabama"	"01"	"10-14 years"	"10-14"	"2003"	"2003"	70	326642	21.4
	"Alabama"	"01"	"10-14 years"	"10-14"	"2004"	"2004"	79	326228	24.2
	"Alabama"	"01"	"10-14 years"	"10-14"	"2005"	"2005"	79	323028	24.5
	"Alabama"	"01"	"10-14 years"	"10-14"	"2006"	"2006"	61	321867	19.0
	"Alabama"	"01"	"10-14 years"	"10-14"	"2007"	"2007"	55	320407	17.2
	"Alabama"	"01"	"10-14 years"	"10-14"	"2008"	"2008"	72	319503	22.5
	"Alabama"	"01"	"10-14 years"	"10-14"	"2009"	"2009"	72	319072	22.6
	"Alabama"	"01"	"10-14 years"	"10-14"	"2010"	"2010"	74	319655	23.1
	"Alabama"	"01"	"10-14 years"	"10-14"	"2011"	"2011"	68	321775	21.1
	"Alabama"	"01"	"10-14 years"	"10-14"	"2012"	"2012"	61	321088	19.0
	"Alabama"	"01"	"10-14 years"	"10-14"	"2013"	"2013"	62	316370	19.6
	"Alabama"	"01"	"10-14 years"	"10-14"	"2014"	"2014"	66	314454	21.0
	"Alabama"	"01"	"10-14 years"	"10-14"	"2015"	"2015"	62	309713	20.0
	"Alabama"	"01"	"10-14 years"	"10-14"	"2016"	"2016"	47	306381	15.3
	"Alabama"	"01"	"10-14 years"	"10-14"	"2017"	"2017"	77	308459	25.0
	"Alabama"	"01"	"10-14 years"	"10-14"	"2018"	"2018"	51	310495	16.4
	"Alabama"	"01"	"15-19 years"	"15-19"	"1999"	"1999"	338	327789	103.1
	"Alabama"	"01"	"15-19 years"	"15-19"	"2000"	"2000"	299	324580	92.1
	"Alabama"	"01"	"15-19 years"	"15-19"	"2001"	"2001"	297	321866	92.3
	"Alabama"	"01"	"15-19 years"	"15-19"	"2002"	"2002"	316	320749	98.5
	"Alabama"	"01"	"15-19 years"	"15-19"	"2003"	"2003"	282	321655	87.7
	"Alabama"	"01"	"15-19 years"	"15-19"	"2004"	"2004"	315	325095	96.9
	"Alabama"	"01"	"15-19 years"	"15-19"	"2005"	"2005"	284	330753	85.9
	"Alabama"	"01"	"15-19 years"	"15-19"	"2006"	"2006"	304	337003	90.2
	"Alabama"	"01"	"15-19 years"	"15-19"	"2007"	"2007"	304	341279	89.1
	"Alabama"	"01"	"15-19 years"	"15-19"	"2008"	"2008"	262	345580	75.8
	"Alabama"	"01"	"15-19 years"	"15-19"	"2009"	"2009"	228	346611	65.8
	"Alabama"	"01"	"15-19 years"	"15-19"	"2010"	"2010"	227	343471	66.1
	"Alabama"	"01"	"15-19 years"	"15-19"	"2011"	"2011"	232	333831	69.5
	"Alabama"	"01"	"15-19 years"	"15-19"	"2012"	"2012"	230	323731	71.0
	"Alabama"	"01"	"15-19 years"	"15-19"	"2013"	"2013"	189	320850	58.9
	"Alabama"	"01"	"15-19 years"	"15-19"	"2014"	"2014"	208	317852	65.4
	"Alabama"	"01"	"15-19 years"	"15-19"	"2015"	"2015"	217	319561	67.9
	"Alabama"	"01"	"15-19 years"	"15-19"	"2016"	"2016"	269	320546	83.9
	"Alabama"	"01"	"15-19 years"	"15-19"	"2017"	"2017"	217	318807	68.1
	"Alabama"	"01"	"15-19 years"	"15-19"	"2018"	"2018"	238	315680	75.4
	"Alabama"	"01"	"20-24 years"	"20-24"	"1999"	"1999"	414	306182	135.2
	"Alabama"	"01"	"20-24 years"	"20-24"	"2000"	"2000"	409	306865	133.3
	"Alabama"	"01"	"20-24 years"	"20-24"	"2001"	"2001"	409	318741	128.3
	"Alabama"	"01"	"20-24 years"	"20-24"	"2002"	"2002"	406	322812	125.8
	"Alabama"	"01"	"20-24 years"	"20-24"	"2003"	"2003"	416	326983	127.2
	"Alabama"	"01"	"20-24 years"	"20-24"	"2004"	"2004"	470	326749	143.8
	"Alabama"	"01"	"20-24 years"	"20-24"	"2005"	"2005"	443	326727	135.6
	"Alabama"	"01"	"20-24 years"	"20-24"	"2006"	"2006"	536	326239	164.3
	"Alabama"	"01"	"20-24 years"	"20-24"	"2007"	"2007"	529	327293	161.6
	"Alabama"	"01"	"20-24 years"	"20-24"	"2008"	"2008"	445	328751	135.4
	"Alabama"	"01"	"20-24 years"	"20-24"	"2009"	"2009"	403	332117	121.3
	"Alabama"	"01"	"20-24 years"	"20-24"	"2010"	"2010"	404	335322	120.5
	"Alabama"	"01"	"20-24 years"	"20-24"	"2011"	"2011"	415	347404	119.5
	"Alabama"	"01"	"20-24 years"	"20-24"	"2012"	"2012"	361	352881	102.3
	"Alabama"	"01"	"20-24 years"	"20-24"	"2013"	"2013"	427	355333	120.2
	"Alabama"	"01"	"20-24 years"	"20-24"	"2014"	"2014"	387	353346	109.5
	"Alabama"	"01"	"20-24 years"	"20-24"	"2015"	"2015"	425	343621	123.7
	"Alabama"	"01"	"20-24 years"	"20-24"	"2016"	"2016"	472	333330	141.6
	"Alabama"	"01"	"20-24 years"	"20-24"	"2017"	"2017"	436	329597	132.3
	"Alabama"	"01"	"20-24 years"	"20-24"	"2018"	"2018"	433	325220	133.1
	"Alabama"	"01"	"25-29 years"	"25-29"	"1999"	"1999"	407	307028	132.6
	"Alabama"	"01"	"25-29 years"	"25-29"	"2000"	"2000"	387	301196	128.5
	"Alabama"	"01"	"25-29 years"	"25-29"	"2001"	"2001"	371	286763	129.4
	"Alabama"	"01"	"25-29 years"	"25-29"	"2002"	"2002"	419	281003	149.1
	"Alabama"	"01"	"25-29 years"	"25-29"	"2003"	"2003"	411	280387	146.6
	"Alabama"	"01"	"25-29 years"	"25-29"	"2004"	"2004"	408	283864	143.7
	"Alabama"	"01"	"25-29 years"	"25-29"	"2005"	"2005"	442	290568	152.1
	"Alabama"	"01"	"25-29 years"	"25-29"	"2006"	"2006"	494	302813	163.1
	"Alabama"	"01"	"25-29 years"	"25-29"	"2007"	"2007"	442	307619	143.7
	"Alabama"	"01"	"25-29 years"	"25-29"	"2008"	"2008"	491	311504	157.6
	"Alabama"	"01"	"25-29 years"	"25-29"	"2009"	"2009"	446	312199	142.9
	"Alabama"	"01"	"25-29 years"	"25-29"	"2010"	"2010"	458	311034	147.3
	"Alabama"	"01"	"25-29 years"	"25-29"	"2011"	"2011"	474	309992	152.9
	"Alabama"	"01"	"25-29 years"	"25-29"	"2012"	"2012"	491	310155	158.3
	"Alabama"	"01"	"25-29 years"	"25-29"	"2013"	"2013"	461	311543	148.0
	"Alabama"	"01"	"25-29 years"	"25-29"	"2014"	"2014"	412	316651	130.1
	"Alabama"	"01"	"25-29 years"	"25-29"	"2015"	"2015"	499	325204	153.4
	"Alabama"	"01"	"25-29 years"	"25-29"	"2016"	"2016"	541	332135	162.9
	"Alabama"	"01"	"25-29 years"	"25-29"	"2017"	"2017"	550	338151	162.6
	"Alabama"	"01"	"25-29 years"	"25-29"	"2018"	"2018"	541	340014	159.1
	"Alabama"	"01"	"30-34 years"	"30-34"	"1999"	"1999"	486	301295	161.3
	"Alabama"	"01"	"30-34 years"	"30-34"	"2000"	"2000"	467	301819	154.7
	"Alabama"	"01"	"30-34 years"	"30-34"	"2001"	"2001"	480	302186	158.8
	"Alabama"	"01"	"30-34 years"	"30-34"	"2002"	"2002"	493	302668	162.9
	"Alabama"	"01"	"30-34 years"	"30-34"	"2003"	"2003"	467	302722	154.3
	"Alabama"	"01"	"30-34 years"	"30-34"	"2004"	"2004"	476	299896	158.7
	"Alabama"	"01"	"30-34 years"	"30-34"	"2005"	"2005"	505	295263	171.0
	"Alabama"	"01"	"30-34 years"	"30-34"	"2006"	"2006"	563	288248	195.3
	"Alabama"	"01"	"30-34 years"	"30-34"	"2007"	"2007"	514	286033	179.7
	"Alabama"	"01"	"30-34 years"	"30-34"	"2008"	"2008"	491	287272	170.9
	"Alabama"	"01"	"30-34 years"	"30-34"	"2009"	"2009"	496	293352	169.1
	"Alabama"	"01"	"30-34 years"	"30-34"	"2010"	"2010"	547	297888	183.6
	"Alabama"	"01"	"30-34 years"	"30-34"	"2011"	"2011"	563	304515	184.9
	"Alabama"	"01"	"30-34 years"	"30-34"	"2012"	"2012"	535	307602	173.9
	"Alabama"	"01"	"30-34 years"	"30-34"	"2013"	"2013"	580	309441	187.4
	"Alabama"	"01"	"30-34 years"	"30-34"	"2014"	"2014"	594	309736	191.8
	"Alabama"	"01"	"30-34 years"	"30-34"	"2015"	"2015"	570	307522	185.4
	"Alabama"	"01"	"30-34 years"	"30-34"	"2016"	"2016"	632	305352	207.0
	"Alabama"	"01"	"30-34 years"	"30-34"	"2017"	"2017"	628	302151	207.8
	"Alabama"	"01"	"30-34 years"	"30-34"	"2018"	"2018"	607	303526	200.0
	"Alabama"	"01"	"35-39 years"	"35-39"	"1999"	"1999"	736	342932	214.6
	"Alabama"	"01"	"35-39 years"	"35-39"	"2000"	"2000"	709	340300	208.3
	"Alabama"	"01"	"35-39 years"	"35-39"	"2001"	"2001"	698	330870	211.0
	"Alabama"	"01"	"35-39 years"	"35-39"	"2002"	"2002"	754	321114	234.8
	"Alabama"	"01"	"35-39 years"	"35-39"	"2003"	"2003"	728	312160	233.2
	"Alabama"	"01"	"35-39 years"	"35-39"	"2004"	"2004"	678	305558	221.9
	"Alabama"	"01"	"35-39 years"	"35-39"	"2005"	"2005"	660	303456	217.5
	"Alabama"	"01"	"35-39 years"	"35-39"	"2006"	"2006"	722	308663	233.9
	"Alabama"	"01"	"35-39 years"	"35-39"	"2007"	"2007"	727	312470	232.7
	"Alabama"	"01"	"35-39 years"	"35-39"	"2008"	"2008"	654	313869	208.4
	"Alabama"	"01"	"35-39 years"	"35-39"	"2009"	"2009"	729	312797	233.1
	"Alabama"	"01"	"35-39 years"	"35-39"	"2010"	"2010"	671	308430	217.6
	"Alabama"	"01"	"35-39 years"	"35-39"	"2011"	"2011"	659	295883	222.7
	"Alabama"	"01"	"35-39 years"	"35-39"	"2012"	"2012"	687	292125	235.2
	"Alabama"	"01"	"35-39 years"	"35-39"	"2013"	"2013"	678	291746	232.4
	"Alabama"	"01"	"35-39 years"	"35-39"	"2014"	"2014"	745	293677	253.7
	"Alabama"	"01"	"35-39 years"	"35-39"	"2015"	"2015"	694	297279	233.5
	"Alabama"	"01"	"35-39 years"	"35-39"	"2016"	"2016"	801	301057	266.1
	"Alabama"	"01"	"35-39 years"	"35-39"	"2017"	"2017"	777	302111	257.2
	"Alabama"	"01"	"35-39 years"	"35-39"	"2018"	"2018"	828	303994	272.4
	"Alabama"	"01"	"40-44 years"	"40-44"	"1999"	"1999"	1151	344000	334.6
	"Alabama"	"01"	"40-44 years"	"40-44"	"2000"	"2000"	1127	345212	326.5
	"Alabama"	"01"	"40-44 years"	"40-44"	"2001"	"2001"	1147	347133	330.4
	"Alabama"	"01"	"40-44 years"	"40-44"	"2002"	"2002"	1052	345023	304.9
	"Alabama"	"01"	"40-44 years"	"40-44"	"2003"	"2003"	1161	343191	338.3
	"Alabama"	"01"	"40-44 years"	"40-44"	"2004"	"2004"	1192	342253	348.3
	"Alabama"	"01"	"40-44 years"	"40-44"	"2005"	"2005"	1128	339299	332.5
	"Alabama"	"01"	"40-44 years"	"40-44"	"2006"	"2006"	1149	334043	344.0
	"Alabama"	"01"	"40-44 years"	"40-44"	"2007"	"2007"	1049	326486	321.3
	"Alabama"	"01"	"40-44 years"	"40-44"	"2008"	"2008"	1026	318765	321.9
	"Alabama"	"01"	"40-44 years"	"40-44"	"2009"	"2009"	1017	313852	324.0
	"Alabama"	"01"	"40-44 years"	"40-44"	"2010"	"2010"	954	311071	306.7
	"Alabama"	"01"	"40-44 years"	"40-44"	"2011"	"2011"	920	312369	294.5
	"Alabama"	"01"	"40-44 years"	"40-44"	"2012"	"2012"	1004	314542	319.2
	"Alabama"	"01"	"40-44 years"	"40-44"	"2013"	"2013"	943	315393	299.0
	"Alabama"	"01"	"40-44 years"	"40-44"	"2014"	"2014"	988	311913	316.8
	"Alabama"	"01"	"40-44 years"	"40-44"	"2015"	"2015"	986	305217	323.0
	"Alabama"	"01"	"40-44 years"	"40-44"	"2016"	"2016"	1029	294656	349.2
	"Alabama"	"01"	"40-44 years"	"40-44"	"2017"	"2017"	989	289684	341.4
	"Alabama"	"01"	"40-44 years"	"40-44"	"2018"	"2018"	992	288308	344.1
	"Alabama"	"01"	"45-49 years"	"45-49"	"1999"	"1999"	1392	309892	449.2
	"Alabama"	"01"	"45-49 years"	"45-49"	"2000"	"2000"	1451	315173	460.4
	"Alabama"	"01"	"45-49 years"	"45-49"	"2001"	"2001"	1484	323347	458.9
	"Alabama"	"01"	"45-49 years"	"45-49"	"2002"	"2002"	1600	330998	483.4
	"Alabama"	"01"	"45-49 years"	"45-49"	"2003"	"2003"	1661	337237	492.5
	"Alabama"	"01"	"45-49 years"	"45-49"	"2004"	"2004"	1634	340768	479.5
	"Alabama"	"01"	"45-49 years"	"45-49"	"2005"	"2005"	1688	344392	490.1
	"Alabama"	"01"	"45-49 years"	"45-49"	"2006"	"2006"	1718	348601	492.8
	"Alabama"	"01"	"45-49 years"	"45-49"	"2007"	"2007"	1685	348251	483.8
	"Alabama"	"01"	"45-49 years"	"45-49"	"2008"	"2008"	1823	348148	523.6
	"Alabama"	"01"	"45-49 years"	"45-49"	"2009"	"2009"	1647	348256	472.9
	"Alabama"	"01"	"45-49 years"	"45-49"	"2010"	"2010"	1579	346369	455.9
	"Alabama"	"01"	"45-49 years"	"45-49"	"2011"	"2011"	1577	336400	468.8
	"Alabama"	"01"	"45-49 years"	"45-49"	"2012"	"2012"	1497	326840	458.0
	"Alabama"	"01"	"45-49 years"	"45-49"	"2013"	"2013"	1615	318601	506.9
	"Alabama"	"01"	"45-49 years"	"45-49"	"2014"	"2014"	1422	311838	456.0
	"Alabama"	"01"	"45-49 years"	"45-49"	"2015"	"2015"	1468	309049	475.0
	"Alabama"	"01"	"45-49 years"	"45-49"	"2016"	"2016"	1449	312055	464.3
	"Alabama"	"01"	"45-49 years"	"45-49"	"2017"	"2017"	1420	313756	452.6
	"Alabama"	"01"	"45-49 years"	"45-49"	"2018"	"2018"	1459	312966	466.2
	"Alabama"	"01"	"50-54 years"	"50-54"	"1999"	"1999"	1765	275759	640.1
	"Alabama"	"01"	"50-54 years"	"50-54"	"2000"	"2000"	1814	285036	636.4
	"Alabama"	"01"	"50-54 years"	"50-54"	"2001"	"2001"	2011	300108	670.1
	"Alabama"	"01"	"50-54 years"	"50-54"	"2002"	"2002"	1974	298908	660.4
	"Alabama"	"01"	"50-54 years"	"50-54"	"2003"	"2003"	2077	302120	687.5
	"Alabama"	"01"	"50-54 years"	"50-54"	"2004"	"2004"	2109	307605	685.6
	"Alabama"	"01"	"50-54 years"	"50-54"	"2005"	"2005"	2236	314839	710.2
	"Alabama"	"01"	"50-54 years"	"50-54"	"2006"	"2006"	2302	323309	712.0
	"Alabama"	"01"	"50-54 years"	"50-54"	"2007"	"2007"	2272	332544	683.2
	"Alabama"	"01"	"50-54 years"	"50-54"	"2008"	"2008"	2335	340006	686.8
	"Alabama"	"01"	"50-54 years"	"50-54"	"2009"	"2009"	2432	344478	706.0
	"Alabama"	"01"	"50-54 years"	"50-54"	"2010"	"2010"	2461	347485	708.2
	"Alabama"	"01"	"50-54 years"	"50-54"	"2011"	"2011"	2466	348748	707.1
	"Alabama"	"01"	"50-54 years"	"50-54"	"2012"	"2012"	2466	346624	711.4
	"Alabama"	"01"	"50-54 years"	"50-54"	"2013"	"2013"	2403	345834	694.8
	"Alabama"	"01"	"50-54 years"	"50-54"	"2014"	"2014"	2358	344747	684.0
	"Alabama"	"01"	"50-54 years"	"50-54"	"2015"	"2015"	2507	340393	736.5
	"Alabama"	"01"	"50-54 years"	"50-54"	"2016"	"2016"	2421	331963	729.3
	"Alabama"	"01"	"50-54 years"	"50-54"	"2017"	"2017"	2204	322876	682.6
	"Alabama"	"01"	"50-54 years"	"50-54"	"2018"	"2018"	2137	314492	679.5
	"Alabama"	"01"	"55-59 years"	"55-59"	"1999"	"1999"	2204	220728	998.5
	"Alabama"	"01"	"55-59 years"	"55-59"	"2000"	"2000"	2321	225450	1029.5
	"Alabama"	"01"	"55-59 years"	"55-59"	"2001"	"2001"	2291	231202	990.9
	"Alabama"	"01"	"55-59 years"	"55-59"	"2002"	"2002"	2454	248643	987.0
	"Alabama"	"01"	"55-59 years"	"55-59"	"2003"	"2003"	2533	258551	979.7
	"Alabama"	"01"	"55-59 years"	"55-59"	"2004"	"2004"	2739	270380	1013.0
	"Alabama"	"01"	"55-59 years"	"55-59"	"2005"	"2005"	2773	284084	976.1
	"Alabama"	"01"	"55-59 years"	"55-59"	"2006"	"2006"	2904	297745	975.3
	"Alabama"	"01"	"55-59 years"	"55-59"	"2007"	"2007"	2890	298032	969.7
	"Alabama"	"01"	"55-59 years"	"55-59"	"2008"	"2008"	2989	301833	990.3
	"Alabama"	"01"	"55-59 years"	"55-59"	"2009"	"2009"	2957	307017	963.1
	"Alabama"	"01"	"55-59 years"	"55-59"	"2010"	"2010"	3045	311906	976.3
	"Alabama"	"01"	"55-59 years"	"55-59"	"2011"	"2011"	3186	320496	994.1
	"Alabama"	"01"	"55-59 years"	"55-59"	"2012"	"2012"	3249	327489	992.1
	"Alabama"	"01"	"55-59 years"	"55-59"	"2013"	"2013"	3354	333146	1006.8
	"Alabama"	"01"	"55-59 years"	"55-59"	"2014"	"2014"	3460	335287	1032.0
	"Alabama"	"01"	"55-59 years"	"55-59"	"2015"	"2015"	3494	337506	1035.2
	"Alabama"	"01"	"55-59 years"	"55-59"	"2016"	"2016"	3383	338734	998.7
	"Alabama"	"01"	"55-59 years"	"55-59"	"2017"	"2017"	3583	337258	1062.4
	"Alabama"	"01"	"55-59 years"	"55-59"	"2018"	"2018"	3442	336811	1021.9
	"Alabama"	"01"	"60-64 years "	"60-64"	"1999"	"1999"	2837	189814	1494.6
	"Alabama"	"01"	"60-64 years "	"60-64"	"2000"	"2000"	2789	190082	1467.3
	"Alabama"	"01"	"60-64 years "	"60-64"	"2001"	"2001"	2836	193822	1463.2
	"Alabama"	"01"	"60-64 years "	"60-64"	"2002"	"2002"	2843	198880	1429.5
	"Alabama"	"01"	"60-64 years "	"60-64"	"2003"	"2003"	3078	207119	1486.1
	"Alabama"	"01"	"60-64 years "	"60-64"	"2004"	"2004"	3030	214983	1409.4
	"Alabama"	"01"	"60-64 years "	"60-64"	"2005"	"2005"	3303	220403	1498.6
	"Alabama"	"01"	"60-64 years "	"60-64"	"2006"	"2006"	3182	226567	1404.4
	"Alabama"	"01"	"60-64 years "	"60-64"	"2007"	"2007"	3338	244043	1367.8
	"Alabama"	"01"	"60-64 years "	"60-64"	"2008"	"2008"	3519	254507	1382.7
	"Alabama"	"01"	"60-64 years "	"60-64"	"2009"	"2009"	3697	265870	1390.5
	"Alabama"	"01"	"60-64 years "	"60-64"	"2010"	"2010"	3708	276127	1342.9
	"Alabama"	"01"	"60-64 years "	"60-64"	"2011"	"2011"	3925	289728	1354.7
	"Alabama"	"01"	"60-64 years "	"60-64"	"2012"	"2012"	3950	287919	1371.9
	"Alabama"	"01"	"60-64 years "	"60-64"	"2013"	"2013"	4052	289653	1398.9
	"Alabama"	"01"	"60-64 years "	"60-64"	"2014"	"2014"	4112	294189	1397.7
	"Alabama"	"01"	"60-64 years "	"60-64"	"2015"	"2015"	4269	300491	1420.7
	"Alabama"	"01"	"60-64 years "	"60-64"	"2016"	"2016"	4396	306358	1434.9
	"Alabama"	"01"	"60-64 years "	"60-64"	"2017"	"2017"	4512	313287	1440.2
	"Alabama"	"01"	"60-64 years "	"60-64"	"2018"	"2018"	4654	318368	1461.8
	"Alabama"	"01"	"65-69 years"	"65-69"	"1999"	"1999"	3833	167363	2290.2
	"Alabama"	"01"	"65-69 years"	"65-69"	"2000"	"2000"	3925	167968	2336.8
	"Alabama"	"01"	"65-69 years"	"65-69"	"2001"	"2001"	3826	169261	2260.4
	"Alabama"	"01"	"65-69 years"	"65-69"	"2002"	"2002"	3679	170495	2157.8
	"Alabama"	"01"	"65-69 years"	"65-69"	"2003"	"2003"	3756	173635	2163.2
	"Alabama"	"01"	"65-69 years"	"65-69"	"2004"	"2004"	3756	176683	2125.8
	"Alabama"	"01"	"65-69 years"	"65-69"	"2005"	"2005"	3747	179942	2082.3
	"Alabama"	"01"	"65-69 years"	"65-69"	"2006"	"2006"	3703	184594	2006.0
	"Alabama"	"01"	"65-69 years"	"65-69"	"2007"	"2007"	3863	189797	2035.3
	"Alabama"	"01"	"65-69 years"	"65-69"	"2008"	"2008"	3966	198122	2001.8
	"Alabama"	"01"	"65-69 years"	"65-69"	"2009"	"2009"	4050	205667	1969.2
	"Alabama"	"01"	"65-69 years"	"65-69"	"2010"	"2010"	4182	209637	1994.9
	"Alabama"	"01"	"65-69 years"	"65-69"	"2011"	"2011"	4208	215066	1956.6
	"Alabama"	"01"	"65-69 years"	"65-69"	"2012"	"2012"	4452	232410	1915.6
	"Alabama"	"01"	"65-69 years"	"65-69"	"2013"	"2013"	4686	240542	1948.1
	"Alabama"	"01"	"65-69 years"	"65-69"	"2014"	"2014"	4899	250989	1951.9
	"Alabama"	"01"	"65-69 years"	"65-69"	"2015"	"2015"	4884	260960	1871.6
	"Alabama"	"01"	"65-69 years"	"65-69"	"2016"	"2016"	5312	271310	1957.9
	"Alabama"	"01"	"65-69 years"	"65-69"	"2017"	"2017"	5251	268693	1954.3
	"Alabama"	"01"	"65-69 years"	"65-69"	"2018"	"2018"	5399	270799	1993.7
	"Alabama"	"01"	"70-74 years"	"70-74"	"1999"	"1999"	5011	148565	3372.9
	"Alabama"	"01"	"70-74 years"	"70-74"	"2000"	"2000"	5067	148780	3405.7
	"Alabama"	"01"	"70-74 years"	"70-74"	"2001"	"2001"	5037	149001	3380.5
	"Alabama"	"01"	"70-74 years"	"70-74"	"2002"	"2002"	4903	147964	3313.6
	"Alabama"	"01"	"70-74 years"	"70-74"	"2003"	"2003"	4786	147332	3248.4
